Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
launch-502,50,5680,4957,9468,9474,11500,25,11500,0.000%,3.30251,22.41,1.17
events-856,50,6404,6560,8772,8857,14634,316,14634,0.000%,1.51318,66.01,0.56
membershipregistration-909,50,4476,3878,7994,8145,14132,471,14132,0.000%,1.23778,80.59,0.42
adminlogin-939,50,2376,1788,5027,5198,8901,455,8901,0.000%,.71856,0.39,0.33
events-855,50,6998,7003,12147,12755,13647,1486,13647,0.000%,1.45514,94.75,0.52
membershipregistration-908,50,8140,8374,12168,13474,14226,1772,14226,0.000%,1.01537,74.28,0.34
corporatesearch-991,50,13439,13446,18711,19598,21595,3390,21595,0.000%,1.37764,1639.60,0.49
adminlogin-941,50,6315,4881,13028,13490,13713,799,13713,0.000%,.67592,49.45,0.21
events-863,50,3734,3611,6780,7185,8077,434,8077,0.000%,1.37654,0.59,0.81
membershipregistration-927,50,7009,8143,9413,9465,13202,878,13202,0.000%,1.01188,65.88,0.34
adminlogin-952,50,5058,3569,9210,9299,10222,592,10222,0.000%,.71169,4.85,0.26
membershipregistration-928,50,4612,3685,7488,7793,10127,1020,10127,0.000%,1.25175,91.57,0.43
adminlogin-951,50,4333,4431,7497,8040,9384,735,9384,0.000%,.81086,18.75,0.25
membershipregistration-938,50,1303,878,2368,2624,6108,390,6108,0.000%,1.43094,0.39,1.12
adminlogin-943,50,2699,2017,6673,6778,7248,711,7248,0.000%,.92254,40.25,0.29
adminlogin-942,50,8876,7852,16112,17007,17600,3366,17600,0.000%,.90290,1061.32,0.30
adminlogin-944,50,2735,2158,5234,6440,7100,499,7100,0.000%,.93714,17.65,0.29
adminlogin-983,50,2136,1732,4205,4292,7136,596,7136,0.000%,.97044,18.28,0.30
adminlogin-981,50,2079,1741,2969,4303,5181,964,5181,0.000%,1.05733,77.35,0.33
adminlogin-982,50,7020,6741,9823,10173,10731,3303,10731,0.000%,1.03797,1220.08,0.35
adminlogin-980,50,2053,1798,4121,4637,5174,151,5174,0.000%,1.12729,49.18,0.36
TOTAL,1050,5118,4159,9675,12920,17574,25,21595,0.000%,10.81181,2180.65,4.04
