Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
launch-502,50,5680,25,11500,3268.18,0.000%,3.30251,22.41,1.17,6948.0
events-856,50,6404,316,14634,3093.23,0.000%,1.51318,66.01,0.56,44671.0
membershipregistration-909,50,4476,471,14132,2997.67,0.000%,1.23778,80.59,0.42,66674.0
adminlogin-939,50,2376,455,8901,1937.52,0.000%,.71856,0.39,0.33,553.0
events-855,50,6998,1486,13647,3130.72,0.000%,1.45514,94.75,0.52,66674.0
membershipregistration-908,50,8140,1772,14226,2773.67,0.000%,1.01537,74.28,0.34,74911.0
corporatesearch-991,50,13439,3390,21595,4364.76,0.000%,1.37764,1639.60,0.49,1218713.2
adminlogin-941,50,6315,799,13713,4794.67,0.000%,.67592,49.45,0.21,74911.0
events-863,50,3734,434,8077,2416.18,0.000%,1.37654,0.59,0.81,436.0
membershipregistration-927,50,7009,878,13202,2884.55,0.000%,1.01188,65.88,0.34,66674.0
adminlogin-952,50,5058,592,10222,3579.09,0.000%,.71169,4.85,0.26,6980.0
membershipregistration-928,50,4612,1020,10127,2775.24,0.000%,1.25175,91.57,0.43,74911.0
adminlogin-951,50,4333,735,9384,2791.62,0.000%,.81086,18.75,0.25,23681.0
membershipregistration-938,50,1303,390,6108,1183.37,0.000%,1.43094,0.39,1.12,277.0
adminlogin-943,50,2699,711,7248,1997.19,0.000%,.92254,40.25,0.29,44671.0
adminlogin-942,50,8876,3366,17600,3927.63,0.000%,.90290,1061.32,0.30,1203662.0
adminlogin-944,50,2735,499,7100,1705.21,0.000%,.93714,17.65,0.29,19291.0
adminlogin-983,50,2136,596,7136,1311.53,0.000%,.97044,18.28,0.30,19291.0
adminlogin-981,50,2079,964,5181,1007.16,0.000%,1.05733,77.35,0.33,74911.0
adminlogin-982,50,7020,3303,10731,1909.97,0.000%,1.03797,1220.08,0.35,1203662.0
adminlogin-980,50,2053,151,5174,1373.31,0.000%,1.12729,49.18,0.36,44671.0
TOTAL,1050,5118,25,21595,4011.46,0.000%,10.81181,2180.65,4.04,206532.1
